Work Item,Person,Start,Duration
1181-ROS QSPI FT,sammkoli,8/19/2021 8:48:01 AM,0:00:16
1181-ROS QSPI FT,sammkoli,8/19/2021 8:49:47 AM,0:03:57
1181-ROS QSPI FT,sammkoli,8/19/2021 8:55:06 AM,0:00:18
1181-ROS QSPI FT,sammkoli,8/19/2021 8:56:33 AM,0:09:28
1181-ROS QSPI FT,sammkoli,8/19/2021 9:16:27 AM,0:00:38
1181-ROS QSPI FT,sammkoli,8/19/2021 9:24:01 AM,0:00:03
1181-ROS QSPI FT,sammkoli,8/19/2021 9:30:13 AM,0:06:49
1181-ROS QSPI FT,sammkoli,8/19/2021 9:38:30 AM,0:11:50
1181-ROS QSPI FT,sammkoli,8/19/2021 10:00:34 AM,0:09:39
1181-ROS QSPI FT,sammkoli,8/19/2021 10:20:47 AM,0:20:09
1181-ROS QSPI FT,sammkoli,8/19/2021 10:45:39 AM,0:16:54
1181-ROS QSPI FT,sammkoli,8/19/2021 11:04:28 AM,0:12:00
1181-ROS QSPI FT,sammkoli,8/19/2021 11:20:24 AM,0:00:25
1181-ROS QSPI FT,sammkoli,8/19/2021 11:24:33 AM,0:04:22
1181-ROS QSPI FT,sammkoli,8/19/2021 11:31:01 AM,0:01:29
1181-ROS QSPI FT,sammkoli,8/19/2021 11:39:53 AM,0:00:03
1181-ROS QSPI FT,sammkoli,8/19/2021 1:41:16 PM,0:06:11
1181-ROS QSPI FT,sammkoli,8/19/2021 1:48:49 PM,0:25:40
1181-ROS QSPI FT,sammkoli,8/19/2021 2:17:28 PM,0:14:14
1181-ROS QSPI FT,sammkoli,8/19/2021 2:42:52 PM,0:03:15
1181-ROS QSPI FT,sammkoli,8/19/2021 2:54:00 PM,0:00:02
1181-ROS QSPI FT,sammkoli,8/20/2021 8:52:49 AM,0:21:23
1181-ROS QSPI FT,sammkoli,8/20/2021 9:46:58 AM,0:31:30
1181-ROS QSPI FT,sammkoli,8/20/2021 10:22:10 AM,0:02:37
1181-ROS QSPI FT,sammkoli,8/20/2021 10:31:52 AM,0:17:13
1194-ROS Migrate to Jenkins - sel-os-fs,sammkoli,8/16/2021 8:45:24 AM,0:00:03
1194-ROS Migrate to Jenkins - sel-os-fs,sammkoli,8/16/2021 8:50:39 AM,0:00:02
1205-ROS Review FT code,sammkoli,8/16/2021 9:00:24 AM,0:01:34
1205-ROS Review FT code,sammkoli,8/16/2021 9:06:58 AM,0:12:19
1205-ROS Review FT code,sammkoli,8/16/2021 9:24:02 AM,0:00:04
1205-ROS Review FT code,sammkoli,8/16/2021 9:28:10 AM,0:02:37
1205-ROS Review FT code,sammkoli,8/16/2021 9:32:19 AM,0:00:50
1205-ROS Review FT code,sammkoli,8/16/2021 9:39:21 AM,0:02:30
1205-ROS Review FT code,sammkoli,8/16/2021 9:43:29 AM,0:08:32
1205-ROS Review FT code,sammkoli,8/16/2021 10:31:27 AM,0:00:43
1207-ROS GIC FTE,sammkoli,8/20/2021 1:45:15 PM,0:42:09
1207-ROS GIC FTE,sammkoli,8/20/2021 2:39:11 PM,0:01:25
1207-ROS GIC FTE,sammkoli,8/20/2021 2:42:59 PM,0:00:29
1207-ROS GIC FTE,sammkoli,8/20/2021 2:49:46 PM,0:04:00
1207-ROS GIC FTE,sammkoli,8/20/2021 3:10:11 PM,0:30:58
1207-ROS GIC FTE,sammkoli,8/20/2021 4:33:13 PM,0:27:29
1214-ROS Review Fts,sammkoli,8/19/2021 2:55:36 PM,0:45:15
1214-ROS Review Fts,sammkoli,8/19/2021 4:09:34 PM,0:09:49
1214-ROS Review Fts,sammkoli,8/19/2021 4:20:26 PM,0:24:11
1214-ROS Review Fts,sammkoli,8/19/2021 4:47:02 PM,0:16:34
1214-ROS Review Fts,sammkoli,8/20/2021 8:46:55 AM,0:00:05
1214-ROS Review Fts,sammkoli,8/20/2021 12:46:42 PM,0:08:38
1214-ROS Review Fts,sammkoli,8/20/2021 1:29:34 PM,0:05:00
Admin,sammkoli,8/16/2021 11:10:55 AM,0:01:44
Admin,sammkoli,8/16/2021 11:20:34 AM,0:00:03
Admin,sammkoli,8/16/2021 5:54:03 PM,0:10:23
Admin,sammkoli,8/17/2021 9:17:29 AM,0:00:31
Meetings,sammkoli,8/19/2021 11:40:00 AM,0:00:02
Meetings,sammkoli,8/19/2021 11:43:02 AM,0:00:04
Meetings,sammkoli,8/19/2021 11:46:45 AM,0:02:23
standups,sammkoli,8/16/2021 9:19:17 AM,0:04:45
standups,sammkoli,8/16/2021 9:24:11 AM,0:03:53
standups,sammkoli,8/20/2021 9:14:16 AM,0:11:21
